,model,val_dataset,method,mean
188,TransMIL,Cohort 1,lse,3
189,TransMIL,TransNEO,lse,3
190,CLAM-Late,Cohort 1,lse,4
191,CLAM-Late,Cohort 2,lse,4
192,DSMIL,Cohort 2,lse,4
193,DTFD,TransNEO,lse,4
194,MMIL,TransNEO,lse,4
195,TransMIL,TCGA,lse,4
196,CLAM,TCGA,lse,5
197,DTFD,TCGA,lse,5
198,MMIL,Cohort 1,lse,5
199,DSMIL,TCGA,lse,6
200,MAMIL,Cohort 1,lse,6
201,MAMIL,TCGA,lse,6
202,MINET-DS,Cohort 1,lse,6
203,MINET-DS,Cohort 2,lse,6
204,CLAM,Cohort 2,lse,7
205,CLAM-Late,TransNEO,lse,7
206,CSMIL,TransNEO,lse,7
207,MAMIL,TransNEO,lse,7
208,MINET-DS,TransNEO,lse,7
209,CLAM-Late,TCGA,lse,8
210,CSMIL,Cohort 2,lse,8
211,CSMIL,TCGA,lse,8
212,DTFD,Cohort 1,lse,8
213,DTFD,Cohort 2,lse,8
214,MINET-DS,TCGA,lse,8
215,CSMIL,Cohort 1,lse,9
216,TransMIL,TransNEO,max,1
217,DSMIL,TCGA,max,2
218,MAMIL,TransNEO,max,2
219,MMIL,TCGA,max,2
220,MAMIL,Cohort 2,max,3
221,MMIL,TransNEO,max,3
222,CLAM,Cohort 1,max,4
223,CLAM,TransNEO,max,4
224,DTFD,TCGA,max,4
225,MAMIL,TCGA,max,4
226,MMIL,Cohort 1,max,4
227,MMIL,Cohort 2,max,4
228,TransMIL,Cohort 2,max,4
229,CLAM-Late,Cohort 1,max,5
230,CSMIL,TCGA,max,5
231,CSMIL,TransNEO,max,5
232,DSMIL,Cohort 1,max,5
233,DSMIL,Cohort 2,max,5
234,DTFD,TransNEO,max,5
235,MINET-DS,TCGA,max,5
236,TransMIL,Cohort 1,max,5
237,TransMIL,TCGA,max,5
238,CLAM,Cohort 2,max,6
239,CLAM,TCGA,max,6
240,CSMIL,Cohort 1,max,7
241,CSMIL,Cohort 2,max,7
242,DTFD,Cohort 1,max,7
243,DTFD,Cohort 2,max,7
244,MINET-DS,Cohort 2,max,7
245,CLAM-Late,Cohort 2,max,8
246,DSMIL,TransNEO,max,8
247,MAMIL,Cohort 1,max,8
248,MINET-DS,Cohort 1,max,8
249,MINET-DS,TransNEO,max,8
250,CLAM-Late,TCGA,max,9
251,CLAM-Late,TransNEO,max,9
252,CLAM,Cohort 2,x10,1
253,CLAM-Late,Cohort 2,x10,1
254,CLAM-Late,TransNEO,x10,1
255,DSMIL,TransNEO,x10,1
256,MAMIL,Cohort 2,x10,1
257,MAMIL,TransNEO,x10,1
258,MINET-DS,Cohort 2,x10,1
259,MMIL,Cohort 2,x10,1
260,MMIL,TCGA,x10,1
261,TransMIL,Cohort 2,x10,1
262,DSMIL,Cohort 2,x10,2
263,MINET-DS,Cohort 1,x10,2
264,MINET-DS,TCGA,x10,2
265,MMIL,Cohort 1,x10,2
266,TransMIL,TCGA,x10,2
267,TransMIL,TransNEO,x10,2
268,CLAM,TransNEO,x10,3
269,CSMIL,TransNEO,x10,3
270,DTFD,Cohort 2,x10,3
271,DTFD,TCGA,x10,3
272,DTFD,TransNEO,x10,3
273,MAMIL,TCGA,x10,3
274,CLAM-Late,TCGA,x10,4
275,CSMIL,Cohort 2,x10,4
276,DTFD,Cohort 1,x10,4
277,MAMIL,Cohort 1,x10,4
278,CSMIL,Cohort 1,x10,5
279,CSMIL,TCGA,x10,6
280,DSMIL,Cohort 1,x10,6
281,MINET-DS,TransNEO,x10,6
282,CLAM,TCGA,x10,7
283,MMIL,TransNEO,x10,7
284,TransMIL,Cohort 1,x10,7
285,DSMIL,TCGA,x10,8
286,CLAM,Cohort 1,x10,9
287,CLAM-Late,Cohort 1,x10,9
288,DSMIL,Cohort 2,min,1
289,TransMIL,TCGA,min,1
290,CLAM-Late,Cohort 2,min,3
291,CLAM-Late,TCGA,min,3
292,CLAM-Late,TransNEO,min,3
293,CSMIL,TCGA,min,3
294,MINET-DS,Cohort 1,min,3
295,MINET-DS,Cohort 2,min,3
296,MINET-DS,TransNEO,min,3
297,CLAM,Cohort 2,min,4
298,CLAM,TCGA,min,4
299,CSMIL,Cohort 1,min,4
300,CSMIL,TransNEO,min,4
301,DSMIL,TCGA,min,4
302,DSMIL,TransNEO,min,4
303,DTFD,Cohort 2,min,4
304,MINET-DS,TCGA,min,4
305,CSMIL,Cohort 2,min,5
306,DTFD,Cohort 1,min,5
307,MAMIL,Cohort 1,min,5
308,MAMIL,Cohort 2,min,5
309,MAMIL,TransNEO,min,5
310,MMIL,Cohort 2,min,5
311,TransMIL,Cohort 2,min,5
312,MMIL,TransNEO,min,6
313,TransMIL,Cohort 1,min,6
314,TransMIL,TransNEO,min,6
315,CLAM,Cohort 1,min,7
316,CLAM-Late,Cohort 1,min,7
317,DTFD,TCGA,min,7
318,DTFD,TransNEO,min,7
319,MAMIL,TCGA,min,7
320,MMIL,TCGA,min,7
321,CLAM,TransNEO,min,8
322,DSMIL,Cohort 1,min,8
323,MMIL,Cohort 1,min,8
