,model,val_dataset,method,mean
52,DSMIL,TCGA,mean,5
53,DSMIL,TransNEO,mean,5
54,DTFD,Cohort 1,mean,5
55,DTFD,Cohort 2,mean,5
56,MAMIL,TransNEO,mean,5
57,MMIL,Cohort 1,mean,5
58,CLAM,Cohort 1,mean,6
59,CSMIL,Cohort 1,mean,6
60,DTFD,TCGA,mean,6
61,DTFD,TransNEO,mean,6
62,MAMIL,TCGA,mean,6
63,MINET-DS,Cohort 2,mean,6
64,MINET-DS,TransNEO,mean,6
65,MMIL,TransNEO,mean,6
66,TransMIL,TCGA,mean,6
67,MINET-DS,TCGA,mean,7
68,TransMIL,TransNEO,mean,7
69,CLAM-Late,Cohort 1,mean,8
70,MAMIL,Cohort 1,mean,8
71,MMIL,TCGA,mean,8
72,CLAM-Late,Cohort 1,mul,1
73,MMIL,TCGA,mul,1
74,CLAM,TCGA,mul,4
75,CLAM-Late,Cohort 2,mul,4
76,MAMIL,Cohort 1,mul,4
77,CLAM-Late,TCGA,mul,5
78,CLAM-Late,TransNEO,mul,5
79,CLAM,Cohort 1,mul,7
80,CLAM,TransNEO,mul,7
81,MMIL,Cohort 2,mul,7
82,CSMIL,Cohort 1,mul,8
83,DSMIL,Cohort 1,mul,8
84,CLAM,Cohort 2,mul,9
85,CSMIL,Cohort 2,mul,9
86,CSMIL,TCGA,mul,9
87,CSMIL,TransNEO,mul,9
88,DSMIL,Cohort 2,mul,9
89,DSMIL,TCGA,mul,9
90,DSMIL,TransNEO,mul,9
91,DTFD,Cohort 1,mul,9
92,DTFD,Cohort 2,mul,9
93,DTFD,TCGA,mul,9
94,DTFD,TransNEO,mul,9
95,MAMIL,Cohort 2,mul,9
96,MAMIL,TCGA,mul,9
97,MAMIL,TransNEO,mul,9
98,MINET-DS,Cohort 1,mul,9
99,MINET-DS,Cohort 2,mul,9
100,MINET-DS,TCGA,mul,9
101,MINET-DS,TransNEO,mul,9
102,MMIL,Cohort 1,mul,9
103,MMIL,TransNEO,mul,9
104,TransMIL,Cohort 1,mul,9
105,TransMIL,Cohort 2,mul,9
106,TransMIL,TCGA,mul,9
107,TransMIL,TransNEO,mul,9
108,CLAM-Late,TransNEO,x20,1
109,MAMIL,TransNEO,x20,1
110,MMIL,TransNEO,x20,1
111,CLAM,TransNEO,x20,2
112,CSMIL,TransNEO,x20,2
113,DTFD,TransNEO,x20,2
114,MAMIL,TCGA,x20,2
115,TransMIL,Cohort 2,x20,2
116,TransMIL,TCGA,x20,2
117,DSMIL,Cohort 1,x20,3
118,DSMIL,TCGA,x20,3
119,DSMIL,TransNEO,x20,3
120,DTFD,Cohort 1,x20,3
121,DTFD,TCGA,x20,3
122,MAMIL,Cohort 1,x20,3
123,MINET-DS,TCGA,x20,3
124,MINET-DS,TransNEO,x20,3
125,MMIL,TCGA,x20,3
126,TransMIL,TransNEO,x20,3
127,CSMIL,Cohort 2,x20,4
128,MINET-DS,Cohort 2,x20,4
129,CSMIL,Cohort 1,x20,5
130,CSMIL,TCGA,x20,5
131,DTFD,Cohort 2,x20,6
132,MINET-DS,Cohort 1,x20,6
133,MMIL,Cohort 1,x20,6
134,TransMIL,Cohort 1,x20,6
135,CLAM,Cohort 2,x20,7
136,CLAM-Late,Cohort 2,x20,7
137,DSMIL,Cohort 2,x20,7
138,MAMIL,Cohort 2,x20,7
139,CLAM,TCGA,x20,8
140,CLAM-Late,TCGA,x20,8
141,MMIL,Cohort 2,x20,8
142,CLAM,Cohort 1,x20,9
143,CLAM-Late,Cohort 1,x20,9
144,CLAM,TCGA,linear,1
145,CSMIL,Cohort 1,linear,1
146,CSMIL,TCGA,linear,1
147,CSMIL,TransNEO,linear,1
148,DSMIL,Cohort 1,linear,1
149,DSMIL,TCGA,linear,1
150,DSMIL,TransNEO,linear,1
151,DTFD,Cohort 1,linear,1
152,DTFD,TCGA,linear,1
153,DTFD,TransNEO,linear,1
154,MAMIL,Cohort 1,linear,1
155,MINET-DS,Cohort 2,linear,1
156,MMIL,Cohort 1,linear,1
157,TransMIL,TCGA,linear,1
158,TransMIL,TransNEO,linear,1
159,CLAM-Late,Cohort 1,linear,2
160,CLAM-Late,TransNEO,linear,2
161,MINET-DS,Cohort 1,linear,2
162,MINET-DS,TCGA,linear,2
163,MINET-DS,TransNEO,linear,2
164,TransMIL,Cohort 1,linear,2
165,CLAM,Cohort 2,linear,3
166,DTFD,Cohort 2,linear,3
167,MAMIL,TransNEO,linear,3
168,MMIL,TransNEO,linear,3
169,CLAM,Cohort 1,linear,4
170,DSMIL,Cohort 2,linear,5
171,MAMIL,TCGA,linear,5
172,CLAM,TransNEO,linear,6
173,CLAM-Late,TCGA,linear,7
174,MMIL,TCGA,linear,7
175,TransMIL,Cohort 2,linear,7
176,CSMIL,Cohort 2,linear,8
177,MAMIL,Cohort 2,linear,8
178,CLAM-Late,Cohort 2,linear,9
179,MMIL,Cohort 2,linear,9
180,CLAM-Late,Cohort 2,lse,2
181,CLAM,TransNEO,lse,3
182,CLAM-Late,TCGA,lse,3
183,CLAM-Late,TransNEO,lse,3
184,MMIL,Cohort 2,lse,3
185,TransMIL,Cohort 1,lse,3
186,CLAM,Cohort 2,lse,4
187,CSMIL,Cohort 1,lse,4
188,MAMIL,TCGA,lse,4
189,MMIL,TransNEO,lse,4
190,TransMIL,TCGA,lse,4
191,TransMIL,TransNEO,lse,4
192,CLAM,Cohort 1,lse,5
193,CSMIL,Cohort 2,lse,5
194,CSMIL,TransNEO,lse,5
195,DSMIL,Cohort 1,lse,5
196,MAMIL,Cohort 2,lse,5
197,TransMIL,Cohort 2,lse,5
198,CLAM,TCGA,lse,6
199,CSMIL,TCGA,lse,6
200,DSMIL,Cohort 2,lse,6
201,DSMIL,TCGA,lse,6
202,DSMIL,TransNEO,lse,6
203,DTFD,Cohort 1,lse,6
204,MAMIL,TransNEO,lse,6
205,CLAM-Late,Cohort 1,lse,7
206,DTFD,TCGA,lse,7
207,DTFD,TransNEO,lse,7
208,MAMIL,Cohort 1,lse,7
209,MINET-DS,Cohort 2,lse,7
210,MINET-DS,TransNEO,lse,7
211,DTFD,Cohort 2,lse,8
212,MINET-DS,Cohort 1,lse,8
213,MINET-DS,TCGA,lse,8
214,MMIL,Cohort 1,lse,8
215,MMIL,TCGA,lse,9
216,CLAM,Cohort 1,max,1
217,CLAM,TransNEO,max,1
218,MMIL,Cohort 2,max,1
219,CLAM,TCGA,max,2
220,CSMIL,Cohort 1,max,2
221,CSMIL,TCGA,max,3
222,MAMIL,Cohort 2,max,3
223,MAMIL,TCGA,max,3
224,MAMIL,TransNEO,max,4
225,MINET-DS,TCGA,max,4
226,CLAM,Cohort 2,max,5
227,DTFD,TCGA,max,5
228,DTFD,TransNEO,max,5
229,MINET-DS,Cohort 1,max,5
230,MINET-DS,TransNEO,max,5
231,MMIL,TCGA,max,5
232,MMIL,TransNEO,max,5
233,TransMIL,TransNEO,max,5
234,CLAM-Late,Cohort 1,max,6
235,CLAM-Late,Cohort 2,max,6
236,CLAM-Late,TCGA,max,6
237,CLAM-Late,TransNEO,max,6
238,DSMIL,Cohort 1,max,6
239,MAMIL,Cohort 1,max,6
240,TransMIL,Cohort 2,max,6
241,CSMIL,Cohort 2,max,7
242,CSMIL,TransNEO,max,7
243,DSMIL,TransNEO,max,7
244,DTFD,Cohort 1,max,7
245,DTFD,Cohort 2,max,7
246,MMIL,Cohort 1,max,7
247,TransMIL,Cohort 1,max,7
248,TransMIL,TCGA,max,7
249,DSMIL,Cohort 2,max,8
250,DSMIL,TCGA,max,8
251,MINET-DS,Cohort 2,max,8
252,CSMIL,Cohort 2,x10,1
253,MAMIL,Cohort 2,x10,1
254,CLAM,Cohort 1,x10,3
255,CLAM-Late,Cohort 1,x10,3
256,DSMIL,Cohort 2,x10,3
257,DTFD,Cohort 2,x10,4
258,MMIL,Cohort 1,x10,4
259,TransMIL,Cohort 2,x10,4
260,CLAM-Late,Cohort 2,x10,5
261,MINET-DS,Cohort 2,x10,5
262,MMIL,Cohort 2,x10,5
263,MMIL,TCGA,x10,5
264,CLAM,Cohort 2,x10,6
265,CSMIL,TransNEO,x10,6
266,MINET-DS,TCGA,x10,6
267,CSMIL,Cohort 1,x10,7
268,CSMIL,TCGA,x10,7
269,DSMIL,TCGA,x10,7
270,MINET-DS,Cohort 1,x10,7
271,DSMIL,TransNEO,x10,8
272,DTFD,Cohort 1,x10,8
273,DTFD,TCGA,x10,8
274,DTFD,TransNEO,x10,8
275,MAMIL,TCGA,x10,8
276,MAMIL,TransNEO,x10,8
277,MINET-DS,TransNEO,x10,8
278,MMIL,TransNEO,x10,8
279,TransMIL,Cohort 1,x10,8
280,TransMIL,TCGA,x10,8
281,TransMIL,TransNEO,x10,8
282,CLAM,TCGA,x10,9
283,CLAM,TransNEO,x10,9
284,CLAM-Late,TCGA,x10,9
285,CLAM-Late,TransNEO,x10,9
286,DSMIL,Cohort 1,x10,9
287,MAMIL,Cohort 1,x10,9
288,CLAM,Cohort 2,min,1
289,DTFD,Cohort 2,min,1
290,TransMIL,Cohort 2,min,1
291,CLAM,Cohort 1,min,2
292,CSMIL,Cohort 2,min,2
293,DSMIL,Cohort 2,min,2
294,MMIL,Cohort 1,min,2
295,CLAM,TCGA,min,3
296,CLAM-Late,Cohort 2,min,3
297,CSMIL,TransNEO,min,3
298,MINET-DS,Cohort 1,min,3
299,MINET-DS,Cohort 2,min,3
300,CLAM-Late,Cohort 1,min,4
301,CLAM-Late,TCGA,min,4
302,DSMIL,TCGA,min,4
303,DSMIL,TransNEO,min,4
304,DTFD,Cohort 1,min,4
305,DTFD,TCGA,min,4
306,DTFD,TransNEO,min,4
307,MINET-DS,TransNEO,min,4
308,MMIL,Cohort 2,min,4
309,MMIL,TCGA,min,4
310,MAMIL,Cohort 1,min,5
311,MINET-DS,TCGA,min,5
312,TransMIL,Cohort 1,min,5
313,TransMIL,TCGA,min,5
314,MAMIL,Cohort 2,min,6
315,TransMIL,TransNEO,min,6
316,CLAM-Late,TransNEO,min,7
317,DSMIL,Cohort 1,min,7
318,MAMIL,TCGA,min,7
319,MAMIL,TransNEO,min,7
320,MMIL,TransNEO,min,7
321,CLAM,TransNEO,min,8
322,CSMIL,TCGA,min,8
323,CSMIL,Cohort 1,min,9
