model,val_dataset,method,mean,std
MAMIL,TransNEO,concat,0.6945322580645161,0.00732582862613805
MAMIL,TransNEO,linear,0.6846451612903226,0.011643925112357904
MAMIL,TransNEO,lse,0.6854193548387097,0.00912528894719252
MAMIL,TransNEO,max,0.6871774193548388,0.007985002273129581
MAMIL,TransNEO,mean,0.6828709677419356,0.009115971507439783
MAMIL,TransNEO,min,0.6756290322580645,0.008959786703810386
MAMIL,TransNEO,mul,0.6496129032258064,0.011510198969169189
MAMIL,TransNEO,x10,0.6457419354838709,0.00877652562303515
MAMIL,TransNEO,x20,0.7190806451612903,0.005660271635825343
MINET-DS,Cohort 1,concat,0.8417083333333333,0.01143191398705426
MINET-DS,Cohort 1,linear,0.8445416666666666,0.013539280416533612
MINET-DS,Cohort 1,lse,0.7369583333333333,0.17597217289309142
MINET-DS,Cohort 1,max,0.7255,0.18991203698060702
MINET-DS,Cohort 1,mean,0.7487083333333333,0.19512227588437026
MINET-DS,Cohort 1,min,0.7360833333333334,0.1852559332449817
MINET-DS,Cohort 1,mul,0.6142083333333332,0.12664739284405954
MINET-DS,Cohort 1,x10,0.7564583333333333,0.1685068836286723
MINET-DS,Cohort 1,x20,0.7608333333333333,0.16669293774430627
MINET-DS,TransNEO,concat,0.6481290322580644,0.01531724109945494
MINET-DS,TransNEO,linear,0.6253548387096775,0.01389362157775025
MINET-DS,TransNEO,lse,0.6355645161290322,0.039639318624214784
MINET-DS,TransNEO,max,0.6205161290322581,0.05643188595414222
MINET-DS,TransNEO,mean,0.6347903225806452,0.02872739677102526
MINET-DS,TransNEO,min,0.6306129032258064,0.026782699344166504
MINET-DS,TransNEO,mul,0.6114193548387097,0.02880865705373035
MINET-DS,TransNEO,x10,0.6127419354838709,0.04144076814471026
MINET-DS,TransNEO,x20,0.6522258064516129,0.0350766631448235
MMIL,Cohort 1,concat,0.7547499999999999,0.08778639198237934
MMIL,Cohort 1,linear,0.7529583333333333,0.08568880541504117
MMIL,Cohort 1,lse,0.7536666666666666,0.08638437823165213
MMIL,Cohort 1,max,0.7557916666666668,0.08825215740726704
MMIL,Cohort 1,mean,0.7488333333333334,0.0846283177222248
MMIL,Cohort 1,min,0.7490833333333333,0.08258572052460339
MMIL,Cohort 1,mul,0.7187083333333334,0.03389654398968197
MMIL,Cohort 1,x10,0.768375,0.09109511419525702
MMIL,Cohort 1,x20,0.7420416666666667,0.07637006081097229
MMIL,TransNEO,concat,0.6621451612903225,0.03509357278383303
MMIL,TransNEO,linear,0.6535967741935484,0.04299879201975124
MMIL,TransNEO,lse,0.6296935483870968,0.054389072209943795
MMIL,TransNEO,max,0.6315645161290322,0.05526709392317799
MMIL,TransNEO,mean,0.628758064516129,0.05425357498718446
MMIL,TransNEO,min,0.6274516129032258,0.048378362413591405
MMIL,TransNEO,mul,0.6442096774193548,0.029715521162213532
MMIL,TransNEO,x10,0.6110483870967742,0.038644976543499625
MMIL,TransNEO,x20,0.6513709677419355,0.05121267594867526
TransMIL,Cohort 1,concat,0.7554583333333333,0.064408050667139
TransMIL,Cohort 1,linear,0.7625,0.06579376447996
TransMIL,Cohort 1,lse,0.743625,0.06508720705027173
TransMIL,Cohort 1,max,0.7458333333333333,0.07085184943176312
TransMIL,Cohort 1,mean,0.7420416666666667,0.0662866629277622
TransMIL,Cohort 1,min,0.7585833333333334,0.06005726433996137
TransMIL,Cohort 1,mul,0.7060416666666667,0.03691898140891218
TransMIL,Cohort 1,x10,0.75625,0.0815730756234351
TransMIL,Cohort 1,x20,0.7360416666666667,0.053575927574164246
TransMIL,TransNEO,concat,0.6808387096774193,0.028166378811690138
TransMIL,TransNEO,linear,0.6723709677419355,0.018417419818138072
TransMIL,TransNEO,lse,0.6761774193548387,0.014096903372848748
TransMIL,TransNEO,max,0.6761129032258064,0.0160610484806587
TransMIL,TransNEO,mean,0.6725645161290322,0.01642813174237421
TransMIL,TransNEO,min,0.6669677419354839,0.015893949907377535
TransMIL,TransNEO,mul,0.6401774193548387,0.01859320594204091
TransMIL,TransNEO,x10,0.6638548387096774,0.018675727757197405
TransMIL,TransNEO,x20,0.6881129032258064,0.014597353401447223
