model,val_dataset,method,mean,std
mamil,cohort_1,mean,0.7226250000000001,0.046312749391208
mamil,cohort_1,min,0.7267916666666666,0.0395494738224116
mamil,cohort_1,mul,0.7384166666666666,0.0630056091957172
mamil,cohort_1,target,0.7227083333333333,0.0430941807033598
mamil,cohort_1,x10,0.72375,0.0448071140460508
mamil,transneo,concat,0.6730967741935484,0.0192370670157806
mamil,transneo,lse,0.6968225806451612,0.0086340303081339
mamil,transneo,max,0.6966129032258064,0.0075049603976308
mamil,transneo,mean,0.6978709677419355,0.0090174609976566
mamil,transneo,min,0.6982258064516129,0.0076313790748081
mamil,transneo,mul,0.6925322580645161,0.0732081614696712
mamil,transneo,target,0.6879516129032258,0.0073039370767033
mamil,transneo,x10,0.7057258064516129,0.0051619903199151
minet_ds,cohort_1,concat,0.8520416666666668,0.0079165448333705
minet_ds,cohort_1,lse,0.7721250000000001,0.1118804011041905
minet_ds,cohort_1,max,0.766375,0.1204997070459017
minet_ds,cohort_1,mean,0.7769999999999999,0.105845690442196
minet_ds,cohort_1,min,0.7700833333333333,0.1223163778743316
minet_ds,cohort_1,mul,0.7310833333333333,0.0969635845479892
minet_ds,cohort_1,target,0.787625,0.098228139354826
minet_ds,cohort_1,x10,0.766875,0.1117447643565957
minet_ds,transneo,concat,0.6708064516129032,0.0089260265933813
minet_ds,transneo,lse,0.5737096774193549,0.1406911486422589
minet_ds,transneo,max,0.5725806451612903,0.1394432962978649
minet_ds,transneo,mean,0.5758709677419355,0.1408392457510194
minet_ds,transneo,min,0.5811774193548387,0.1344215918454346
minet_ds,transneo,mul,0.653241935483871,0.0487633193440176
minet_ds,transneo,target,0.5641451612903225,0.129791183224895
minet_ds,transneo,x10,0.5922258064516129,0.1345985067031056
mmil,cohort_1,concat,0.78025,0.0959544725506275
mmil,cohort_1,lse,0.7247916666666667,0.088353258147669
mmil,cohort_1,max,0.7386666666666667,0.0924167125872377
mmil,cohort_1,mean,0.7407083333333333,0.0917432445287753
mmil,cohort_1,min,0.7431666666666666,0.092779066857312
mmil,cohort_1,mul,0.7666666666666667,0.0292597720301997
mmil,cohort_1,target,0.7244583333333334,0.1044193324568815
mmil,cohort_1,x10,0.7269166666666667,0.087797378261709
mmil,transneo,concat,0.6579032258064517,0.051314324538855
mmil,transneo,lse,0.6788548387096773,0.0440945081000251
mmil,transneo,max,0.6656935483870968,0.0482984881630799
mmil,transneo,mean,0.6708548387096774,0.0454261975794067
mmil,transneo,min,0.6745645161290323,0.0426717859452712
mmil,transneo,mul,0.7018225806451612,0.0348546400920502
mmil,transneo,target,0.6691451612903225,0.0474077747789582
mmil,transneo,x10,0.6844032258064516,0.0438266729000321
transmil,cohort_1,concat,0.7532916666666667,0.0630342750433992
transmil,cohort_1,lse,0.7420833333333333,0.0734597500441106
transmil,cohort_1,max,0.74225,0.0738037834856053
transmil,cohort_1,mean,0.7410833333333333,0.0734550757139909
transmil,cohort_1,min,0.7487083333333333,0.0780576438036201
transmil,cohort_1,mul,0.7476666666666667,0.0263795305043442
transmil,cohort_1,target,0.7434583333333333,0.0776971432217094
transmil,cohort_1,x10,0.741375,0.0670932676104091
transmil,transneo,concat,0.6793548387096774,0.0158088287291611
transmil,transneo,lse,0.7050645161290323,0.012408574197244
transmil,transneo,max,0.701274193548387,0.0126062257163811
transmil,transneo,mean,0.7047419354838709,0.0137039203598559
transmil,transneo,min,0.7039677419354838,0.0124553080111616
transmil,transneo,mul,0.6445161290322581,0.0307180796312707
transmil,transneo,target,0.6983548387096774,0.0183305424672327
transmil,transneo,x10,0.7104838709677419,0.0123931436853538
