,model,val_dataset,method,mean
95,DSMIL,Cohort 1,lse,4
96,DTFD,TransNEO,lse,4
97,MAMIL,TransNEO,lse,4
98,CLAM-Late,Cohort 1,lse,5
99,MINET-DS,Cohort 1,lse,5
100,CLAM-Late,TransNEO,lse,6
101,CLAM,Cohort 1,lse,7
102,CSMIL,Cohort 1,lse,7
103,DTFD,Cohort 1,lse,7
104,MINET-DS,TransNEO,lse,7
105,TransMIL,Cohort 1,lse,7
106,MAMIL,Cohort 1,lse,8
107,MMIL,Cohort 1,lse,8
108,DSMIL,Cohort 1,max,1
109,CSMIL,TransNEO,max,2
110,DSMIL,TransNEO,max,2
111,CLAM,TransNEO,max,3
112,CLAM-Late,Cohort 1,max,3
113,DTFD,Cohort 1,max,4
114,CLAM-Late,TransNEO,max,5
115,DTFD,TransNEO,max,5
116,MAMIL,TransNEO,max,5
117,TransMIL,TransNEO,max,5
118,CLAM,Cohort 1,max,6
119,MMIL,Cohort 1,max,6
120,TransMIL,Cohort 1,max,6
121,CSMIL,Cohort 1,max,8
122,MINET-DS,Cohort 1,max,8
123,MINET-DS,TransNEO,max,8
124,MMIL,TransNEO,max,8
125,MAMIL,Cohort 1,max,9
126,CLAM,TransNEO,x10,1
127,CLAM-Late,TransNEO,x10,1
128,CSMIL,TransNEO,x10,1
129,DSMIL,TransNEO,x10,1
130,DTFD,TransNEO,x10,1
131,MAMIL,TransNEO,x10,1
132,TransMIL,TransNEO,x10,1
133,MMIL,TransNEO,x10,2
134,CSMIL,Cohort 1,x10,4
135,MINET-DS,TransNEO,x10,4
136,MAMIL,Cohort 1,x10,5
137,DTFD,Cohort 1,x10,6
138,DSMIL,Cohort 1,x10,7
139,MINET-DS,Cohort 1,x10,7
140,MMIL,Cohort 1,x10,7
141,TransMIL,Cohort 1,x10,8
142,CLAM,Cohort 1,x10,9
143,CLAM-Late,Cohort 1,x10,9
144,CLAM,Cohort 1,min,2
145,CLAM-Late,TransNEO,min,2
146,DTFD,TransNEO,min,2
147,MAMIL,TransNEO,min,2
148,MMIL,Cohort 1,min,3
149,TransMIL,Cohort 1,min,3
150,DSMIL,TransNEO,min,4
151,MAMIL,Cohort 1,min,4
152,MMIL,TransNEO,min,4
153,TransMIL,TransNEO,min,4
154,CSMIL,TransNEO,min,5
155,MINET-DS,TransNEO,min,5
156,CLAM,TransNEO,min,6
157,CSMIL,Cohort 1,min,6
158,MINET-DS,Cohort 1,min,6
159,CLAM-Late,Cohort 1,min,7
160,DSMIL,Cohort 1,min,8
161,DTFD,Cohort 1,min,8
